,Input.category,Answer.complex_query,Answer.simple_query
0,housing,Australian Terrier puppies 3 weeks old need good homes,dog small quiet friendly
1,housing,the apartment house was  bulit city center,smallhouse rooms and bathromms
2,housing,apartment near new york times square under 5000 3 bedroom 2 bathroom,cheap housing three bedroom
3,housing,Seattle detached home three bedroom two bath built in 2020,Ceadar Mill apartment three bedroom garage
4,housing,"Melbourne house with 4 bedrooms, 2 bathrooms, built 1980s in St Kilda",4 bed house with car parking
5,housing,detroit downtown apartment built after 2012 with 2 bedroom 2 bathroom,detroit 2 bed apt
6,housing,newton twonhouse close to boston built in 1990s with 4 bedrooms,chicago apt $2000 permonth two bed
7,housing,New Elkhorn condo good school district 2br/2ba with parking,Elkhorn condo $600/mo 2br
8,housing,4 bed 3 bath apartment with parking built after 2000,2 bed 1 bath apartment
9,housing,London  two beds apartment close to Piccadilly Circus new construction,one bed apartment 1200/month
10,housing,1900 square feet apartment with 3 bed rooms near California built after 2014,2BHK in suburban near florida
11,housing,average apartment rentals 2 bedrooms san diego 2020,4 bedroom homes USA
12,housing,1500sq ft 4br 3 bath home with basement,4br 3 bath home
13,housing,new york apartment built in 1990,housing built in 1980
14,housing,two bedroom apt fully furnished less than 1500,two bedroom apt
15,housing,Want independent mansion at least 30000 square feet and less than 7 million USD,Single room accommodation
16,housing,"st. louis apartment complex's close to city downtown built in 1960 with 4 bathrooms and 6 bedrooms oh, and comes with basement",904 third house 10000 per month single bed
17,housing,"apartment with 4 bed rooms , 2 bathooms buit ater 2016",apartment with 4 bedrooms and 2 bath rooms
18,housing,"an melbourne apartment close to the city, built in 2010 near the city",suburb house with 5 bedrooms
19,housing,"Van Buren apartment located in Cook County in Chicago with 2 beds, 2 baths",Elevate apt $7000 per month 2 beds
20,housing,"manhattan apartment one bedroom or studio with kitchen, built after 1990",bronx house with two beds
21,housing,"5  bedroom 3 bathroom mansion in Vancouver Washington built after 1980 under $10,000,000",3 bedroom condominium in Angelica
22,housing,"2 bedrooms, 1 bathroom, 4 acre backyard with fenced in grass and playground",apartment
23,housing,melbourne apartment close to city center built after 1980 with 3 bathrooms,nebtleigh apt 7000 per month single bed
24,housing,"newer, built after 2015, condo, carport, 2 or 3 bathrooms, quiet neighborhood, minimum 3 bedrooms.","Ranch-style house,  3 bathrooms"
25,housing,San Antonio house built after 2020 with three bedrooms 2 bathrooms,San Antonio house 3 bedrooms 2000 per month
26,jewelry,vintage wedding ring white gold and platinum with at least 3 diamonds under $5000,opal ring $300 or under
27,jewelry,"gold, silver, diamond, ring",ring
28,jewelry,women's silver earrings for anniversary $500,"women,s silver earrings"
29,jewelry,mix and match bracelets 2 for $5,belly rings less than $100
30,jewelry,Silver crowns of medium head size weighing 100 grams and not more than 1000 USD each.,Platinum bracelets
31,jewelry,diamond and ruby studded bracelet with gold,gold necklace for $2000
32,jewelry,ceremony earrings and necklace set for her silver or gold $250,diamond necklace less than $1500
33,jewelry,795,5900
34,jewelry,Birthday earrings for her gold  or silver $300,wedding bracelet less than $2200
35,jewelry,wedding ring for her gold under $2000,party jewels below $1500
36,jewelry,silver necklace for him $500,necklace less than $100
37,jewelry,earring 500,earring less than 2000
38,jewelry,"wedding ring for her diamond $10,000",ear rings about $500
39,jewelry,wedding ring for sale under 4000 price,wedding ring sale
40,jewelry,womens tennis bracelet gold less than $200 small,watches less than $30
41,jewelry,anniversary bracelet for her silver or gold $300,wedding rings less than $2000
42,jewelry,1000,1000
43,jewelry,"Rose gold, vintage ring, emerald or amethyst, trap cut preferable, less than 1500.",Gold anklet.
44,jewelry,wedding necklace for bride diamond $1000,diamond earring less than $1000
45,jewelry,"silver tiara for women at least $10,000",pendant less than 500 gold
