,category,query,cleaned_query
0,housing,Australian Terrier puppies 3 weeks old need good homes,australian terrier puppi week old need good home
1,housing,the apartment house was  bulit city center,apart hous bulit citi center
2,housing,apartment near new york times square under 5000 3 bedroom 2 bathroom,apart near new york time squar bedroom bathroom
3,housing,Seattle detached home three bedroom two bath built in 2020,seattl detach home bedroom bath built
4,housing,"Melbourne house with 4 bedrooms, 2 bathrooms, built 1980s in St Kilda",melbourn hous bedroom bathroom built st kilda
5,housing,detroit downtown apartment built after 2012 with 2 bedroom 2 bathroom,detroit downtown apart built bedroom bathroom
6,housing,newton twonhouse close to boston built in 1990s with 4 bedrooms,newton twonhous close boston built bedroom
7,housing,New Elkhorn condo good school district 2br/2ba with parking,new elkhorn condo good school district park
8,housing,4 bed 3 bath apartment with parking built after 2000,bed bath apart park built
9,housing,London  two beds apartment close to Piccadilly Circus new construction,london bed apart close piccadilli circu new construct
10,housing,1900 square feet apartment with 3 bed rooms near California built after 2014,squar feet apart bed room near california built
11,housing,average apartment rentals 2 bedrooms san diego 2020,averag apart rental bedroom san diego
12,housing,1500sq ft 4br 3 bath home with basement,ft bath home basement
13,housing,new york apartment built in 1990,new york apart built
14,housing,two bedroom apt fully furnished less than 1500,bedroom apt fulli furnish
15,housing,Want independent mansion at least 30000 square feet and less than 7 million USD,want independ mansion squar feet million usd
16,housing,"st. louis apartment complex's close to city downtown built in 1960 with 4 bathrooms and 6 bedrooms oh, and comes with basement",st loui apart complex close citi downtown built bathroom bedroom oh come basement
17,housing,"apartment with 4 bed rooms , 2 bathooms buit ater 2016",apart bed room bathoom buit ater
18,housing,"an melbourne apartment close to the city, built in 2010 near the city",melbourn apart close citi built near citi
19,housing,"Van Buren apartment located in Cook County in Chicago with 2 beds, 2 baths",van buren apart locat cook counti chicago bed bath
20,housing,"manhattan apartment one bedroom or studio with kitchen, built after 1990",manhattan apart bedroom studio kitchen built
21,housing,"5  bedroom 3 bathroom mansion in Vancouver Washington built after 1980 under $10,000,000",bedroom bathroom mansion vancouv washington built
22,housing,"2 bedrooms, 1 bathroom, 4 acre backyard with fenced in grass and playground",bedroom bathroom acr backyard fenc grass playground
23,housing,melbourne apartment close to city center built after 1980 with 3 bathrooms,melbourn apart close citi center built bathroom
24,housing,"newer, built after 2015, condo, carport, 2 or 3 bathrooms, quiet neighborhood, minimum 3 bedrooms.",newer built condo carport bathroom quiet neighborhood minimum bedroom
25,housing,San Antonio house built after 2020 with three bedrooms 2 bathrooms,san antonio hous built bedroom bathroom
26,jewelry,vintage wedding ring white gold and platinum with at least 3 diamonds under $5000,vintag wed ring white gold platinum diamond
27,jewelry,"gold, silver, diamond, ring",gold silver diamond ring
28,jewelry,women's silver earrings for anniversary $500,women silver ear anniversari
29,jewelry,mix and match bracelets 2 for $5,mix match bracelet
30,jewelry,Silver crowns of medium head size weighing 100 grams and not more than 1000 USD each.,silver crown medium head size weigh gram usd
31,jewelry,diamond and ruby studded bracelet with gold,diamond rubi stud bracelet gold
32,jewelry,ceremony earrings and necklace set for her silver or gold $250,ceremoni ear necklac set silver gold
