,Input.category,Answer.complex_query,Answer.simple_query
0,car,FUEL,"REGION,TYPE,PAINT,STATE"
1,car,toyato less than 29000  miles amd under $15000,Honda used under 2000
2,car,"Used 100,000 honda 4000",Used honda 7000
3,car,Used Ford F-350 diesel truck with long bed and 4-wheel drive,New white Subaru Ascent
4,car,used 2019 white lincoln aviator with cream leather interior and air conditioned seats,new lincoln aviator
5,car,"spaghetti, wal-mart, Costco",car
6,car,"honda sedan less than 200,000 miles and under $15000",toyata used under 5000
7,car,Toyota Prius black used Florida under $10000,Honda new 2021
8,car,ford ram 250 100000 miles 2 door 4 cylinders,virginia ford 2door $3400
9,car,"new Audi Q7, 2021 model, diesel, red",Peugeot 306 new
10,car,12000,10000
11,car,"toyota sedan less than 300,000 miles and under $20000",Honda used under 6000
12,car,ford v8 truck tow package spray in bedliner,ford f150 low miles
13,car,El dorado 1970 black under 300000 miles,Colorado new toyota prius
14,car,"BMW sedan less than 100,000 miles and under $25000",BMW used under 10000
15,car,"honda, 200,000 miles",toyota
16,car,"New Subaru SUV under 40,000 dollars with eyesight","New SUV under 50,000 dollars"
17,car,"honda car with black color and milage 300,000 price $55000 with petrol fuel",price of the first toyota car
18,car,SUBARU 200K MILES OR LESS HATCHBACK MAUAL TRANSMISSION UNDER $6000,USED CAMRY CLEAN TITLE
19,car,condition,price
20,car,"HERO SEDAN LESS THAN 200,500 MILES AND UNDER $20000",HONDA USED UNDER 6000
21,car,What is the price of toyota?,What is the condition of toyota?
22,computer science jobs,Senior management data analyst position with 401k and health benefits,Assistant IT manager Colorado
23,computer science jobs,Data science 60k,Looking for database specialized 56999
24,computer science jobs,"data science, private, 80-90k",data scientist
25,computer science jobs,Salary estimate,Job title
26,computer science jobs,data science job private $70K or $80K in california,senior data scientist $55K alabama
27,computer science jobs,DATA ENTRY MANAGER,DEGREE
28,computer science jobs,SYSTEMS ADMINISTRATOR JOB 75K REMOTE OR IN OHIO PATH TO ADVANCEMENT,ENTRY LEVEL NETWORKING JOB
29,computer science jobs,What is the salary of data science job?,What is the qualification for senior data scientist?
30,computer science jobs,senior scientist founder phd 24 years work experience $145K,senior scientist phd california
31,computer science jobs,database manager jobs austin texas $100k in healthcare,database manager job near me
32,computer science jobs,Master degrees IBM New York Data Scientist $150K,Business Analyst ibm New York $100k
33,computer science jobs,manager business analyst 100000 new england,Entry data scientist california
34,computer science jobs,DATA MANAGER JOB PRIVATE COMPANY $60K OR $ 80K IN NEW YORK,JENIOR DATE MANAGER $50K ALABAMA
35,computer science jobs,Privately owned prison $50K Iowa no degree Part time,4 years experience Business Analyst Colorado
36,computer science jobs,California Data Science Job,Alabama Senior Data Scientist
37,computer science jobs,data science job private company $80K or $90K in california,senior data scientist $74K alabama
38,computer science jobs,What is the average salary in a data science job private company in california?,What is the salary of senior data scientist?
39,computer science jobs,Data scientist manager job private company $100,senior data scientist manager $100
40,computer science jobs,python artificial intelligence minimum five years experience,java expert masters degree
41,furniture,kitchen bar stool brown,kitchen cabinet
42,furniture,dining table 200 x 100 cm glass $700 or less,pine bed king size
43,furniture,brown oak desk 200 150 by 300,white desk 200
44,furniture,KITCHEN ISLAND OAK OR PINE SEATS 4 BUILT IN STORAGE WIRED FOR ELECTRICITY,CHERRY BREAKFAST NOOK
45,furniture,Used kitchen chair in wood pine,Kitchen chair in pine
46,furniture,CHIMENEY SILVER,WALNUT
47,furniture,new kitchen bar stool brown 111 by 146 meters,kitchen cabinet mahogany or walnut
48,furniture,rustic counter height white and black bar stools metal,white bar stools
49,furniture,new bathroom stool brown 111 by 156 meters,kitchen cabinet mahogany or walnut
50,furniture,amish made farmstyle table unstained,canopy bed frame walnut
51,furniture,New blue mid centrury modern couch with walnut legs,Beige mid-century modern chair
52,furniture,New 100 met gold stool,New kitch dink 3000
53,furniture,solid oak 8 person dining room table,green love seat new
54,furniture,111,wainut
55,furniture,"What are the price, color, and dimensions of the brown kitchen bar stool?",What price is the mahogany kitchen cabinet?
56,furniture,How the bar stool can be fixed according to the dimensions?,What is the color of the kitchen cabinet mahogany?
57,furniture,new mahogany  cabinets for kitchen or office,cabinets mahogany or walnut
58,furniture,white day bed full size metal or plastic,black bed twin size
59,furniture,Used Oak 1-2m Dining Room table with 6 chairs for under $500,2m Blue Sofa
60,furniture,"kitchen countertop granite or stone, black or brown",dining table bar height or standard
61,furniture,bar stools 2 ft 6in 4 numbers black and steel combo,bunker bed metal frame 6x3
62,furniture,New kitchen bar is with the dimension,Which category it is
63,housing,melbourne apartment close to city center built after 1980 with 3 bathrooms,netleigh apt 6000 per month single bed
64,housing,3 bed 2 bath apartments in dallas with no pet free under $1800 a month,dallas new build homes
65,housing,CONDO FOR SALE GRAND HAVEN BEACHFRONT DOWNTOWN ACCESS 4 BEDROOMS,DUPLEX FOR RENT
66,housing,nebtleigh apartment close to city enter with 2 bathroom,ward apartment apt 7000per month single bed
67,housing,One bedroom two bath apartment close to city,8000 per month one bed apartment
68,housing,16000,10000
69,housing,multi room apartment no roommates near center city,studio apartment desirable neighborhood
70,housing,Two bedroom one bath move in ready,Single 3 bedroom home
71,housing,4 bedroom duplex car park 10 years old near Vox Hall downtown Chicago,2 bedroom 2 bath rent $5000
72,housing,3960,4000
73,housing,melbourne apartment close to city center built after 1980 with 2 bathrooms,nebtleigh apt 8000 per month single bed
74,jewelry,anniversary bracelet for her silver or gold $100,wedding rings less than $1000
75,jewelry,1 carat solitaire engagement ring size 6 $2000,engagement ring 2000
76,jewelry,anniversery neckless is gold and diamond mixed,wedding earing is look so cute
77,jewelry,"a combo of wedding band, ring, necklace at affordable price $500 color options gold and silver",Couple ring set for best price $50
78,jewelry,pearl necklace matching earrings blue color $450,diamond necklace @7700
79,jewelry,WOMEN'S GOLD OR PLATINUM BAND WITH EMERALD OR RUBY LESS THAN $1000,HEMATITE RINGS
80,jewelry,24K gold wedding ring under $2000 with matching engagement ring,silver engraved chain necklace
81,jewelry,earrings for silver or gold $500,wedding band less than $1000
82,jewelry,50th anniversary diamond and pearl necklace and bracelet set over $5000,emerald ring less than $850
83,jewelry,Gold $100,Price
84,jewelry,gold necklace without pendant large links,gold necklace large links
85,jewelry,anniversary bracelet for her silver or gold $200,wedding rings less than $2000
86,motorcycles,bajaj dominar 2018 less than 120000 sale,honda motorcycle 500cc
87,motorcycles,bajaj dominar 2017 less than 130000 sale,honda motorcycle 500cc
88,motorcycles,Harley Davidson 2021 less than 50000,yellow 2021 Vespa
89,motorcycles,bajaj dominar 2017 less than 100000 sale,honda motorcycle 600cc
90,motorcycles,2020 YZT-R6 1346 miles less than 13000,Yamaha 1000
91,motorcycles,"TOYOTA MOTORCYCLE SECOND HAND $10000 BLUE COLOR  300,000 MILAGE",SUZUKI MOTORCYCLE 900CC
92,motorcycles,used red harley davidson electra glide standard near el paso texas under 20k km,2021 Harley Electra Glide
93,motorcycles,BMW bike 2020 $6300 1500 kms,Harley Davidson 250cc 5000 km
94,motorcycles,harley davidson all original parts,harley davidson low mileage
95,motorcycles,Honda polite 3000,New honda crv4500
96,motorcycles,OVER 500CC YAMAHA STREET LEGAL PREVIOUSLY OWNED CHROME,1980 GOLDWING
97,motorcycles,used honda white 1000cc 2009,mv augusta 2010 red
98,motorcycles,WHICH CAR BEAT OF THE YEAR BETTER THAN FERRARI,HONDA CAR PRICE
99,motorcycles,YAMAHA  MT 07 2017 LESS THAN 8000 SALE,YAMAHA MOTORCYCLE 220CC
100,motorcycles,90000,65000
101,housing,4 bedroom Dallas apartment with pool access close to the airport  and restaurants,Dallas apartment 3 bedrooms 1 bath
102,housing,Apartments for rent 1000 a minth in lorain,Two bedroom house with available parking
103,housing,"housing address = ""via roma 111"" and apartament type = ""flat""","housing address = ""via roma 111"""
104,housing,Housing,Housing
105,housing,"Sydney House with 6 bedrooms, 5 bathrooms and parking in the city.",Adelaide apartment with one bedroom under 5 years old
106,housing,Villa type mansion under 2 million AUSD  required for purchase in Perth,Single bedroom apartment under 1000 pm
107,housing,3 bathroom city no car 1950 new york,no car 1950 bellevue 4 bed
108,housing,Suburban 2bhk house with atleast 3 separate bathrooms near Panvel area.,1bhk house with car parking.
109,housing,new york house close to train station double bed,london apartment 500 per week double bed
110,housing,Melbourne Apartment 2 bathrooms,8000 per single
111,housing,melbourne apartment close to city center built after 1980 with 2 bathroooms,nebtleigh apt 8000 per month single bed
112,housing,Georgia house urban built after 2000 with 4 bathrooms,rural apartment 2000 per month
113,housing,"size, no of rooms,no of bedroom, price, car, tile, furnished","size, no of bathrooms, year bult"
114,housing,find apartments near me with 2 bathrooms built after 1980,1 bedroom apartment for rent
115,housing,"chicago suburb townhouse transportation ""built within 10 years"" three bed",chicago townhouse three bed 200k
116,housing,new york city flat close to times square,seattle house 4000 per month three bed
117,housing,house built in 1990,condo two bedrooms
118,housing,2 Bedroom apartment in downtown Denver,Suburban home with 3 bedrooms
119,housing,How many bedrooms are there?,What is the address of the above nebtleigh?
120,housing,Apartment complex near costco,2 bedroom 800 per month
121,housing,stone garden home at least 1 acre and at least 5 bedrooms,"san francisco,ca apartment less than $2600"
122,jewelry,diamond tennis bracelet platinum or white gold $2000,diamond tennis bracelet
123,jewelry,Black or silver necklace with price less than 500 and more than 100,Black necklace with price less than 200
124,jewelry,silver earrings with real diamonds and clip-cons,earrings with clips-ons
125,jewelry,"size, color, craftman, weight, carat","size, color, manufacturer"
126,jewelry,silver or gold bracelet,wedding ring
127,jewelry,Rose gold Charm Bracelet with Diamonds for under $500,$100 silver necklace
128,jewelry,ringsv wo,sharmi looking for rings less than $1000
129,jewelry,birthday necklace for her $800,wedding band less than $200
130,jewelry,tiffany diamond wedding ring at least $1000,jade bracelet less than $600
131,jewelry,"Diamond ear rings for her, gold plated for more than $500",Silver necklaces for sale
132,jewelry,wedding gold ring $1000 big diamond 204 karat,gold ring diamond big
133,jewelry,Earrings silver gold $250,pandora bracelet less then $500
134,jewelry,silver butterfly necklace for woman under 500,gold necklace over 500
135,jewelry,Where can I find anniversary bracelets for females that are silver or gold for less than $100?,Where can I buy wedding rings for less than $1000?
136,jewelry,Wedding band for him in gold $250,Red Earring less than $200
137,jewelry,engraved engagement ring for him silver $200,gold necklace
138,jewelry,wedding ring $1000 platinum set double,bracelet green $100
139,jewelry,What is the type of jewellery?,what is the price
140,jewelry,diamond and white gold bracelet $500,gold chain and pendant
141,jewelry,14K Gold Anniversary Ring $5800,Sterling Silver Earrings $50
142,jewelry,Jewelry,Jewelry
143,jewelry,50,500
144,jewelry,wedding ring gold for her for 100,silver necklaces for 20$
145,jewelry,"jewerly type = ""ring"" and color = ""gold""","jewerly type = ""ring"""
146,jewelry,Anniversay bracelt for her silver $100,braclet silver $100
