car,"2018 red Corvette excellent condition less than 50,000 miles under $20000",2015 Mazda Miata under 80000 miles
car,"2019 Black BMW sedan 6 cylinder 50,000 miles and under",2015 red Ford Edge
car,"2019 Ford F-150 Lariat less than 50,000 miles under $20000",Hyundai 2016 used under 2000
car,"2019 Ford F150 truck in arkansas under 100,000 miles","used car under 200,000 miles"
car,"2021 Dodge Ram less than 5,000 Miles under $35,000","Used Kia forte under 50,000 miles"
car,"Accura CL 2007 white less then 100,000 miles",Honda used black
car,"BMW sedan less than 100,000 miles and under $25000",BMW used under 10000
car,"BMW used from at least 2005 in blue for less than 100,000",Chevy new Washington
car,"Baleno 1.3 DELTA less than 300,000 miles and under $20000",Alto 800 VXI used under 5000
car,"Black Toyota Corolla less then 100,000 for 10,000$",BMW used under 20000 miles
car,"Ford Mustang less than 150,000 miles and cost $10,000",Mustang 2006 V4 blue
car,"Ford SUV under $50,000 but under 150,000 miles",Honda used under 10000
car,"Ford sedan less than 150,000 miles and under $20000",Ford used under 4000
car,"HERO SEDAN LESS THAN 200,500 MILES AND UNDER $20000",HONDA USED UNDER 6000
car,"Honda Accord EX 1997 less than 138,000 miles single owner A/C less than $2000",Honda $1200 red
car,"Honda sedan less than 100,000 miles and under $13000",toyota used under 6000
car,"Honda sedan less than 200,000 miles and under $15000",toyota used under 5000
car,"Honda sedan less than 200,000 miles under $15,000","Toyota used under 5,000"
car,"Honda sedan less than 300,000 miles and under $17000",toyota used under 7000
car,"Honda sedan less than 300,000 miles and under $20000",toyota used under 6000
car,"Honda sedan less than 300,000 miles and under $20000",toyota used under 7000
car,"Honda sedan. Seats 5 people. Low mileage. And under $15,000",A toyota car that is used and has under 5000 miles
car,"Jeep Compass SUV 2012 or newer less than 50,000 miles",Jeep Compass 2015 or newer
car,"Jeep USV new less than 10,000 miles under $ 10000",Jeep USV new under $10000
car,"New Subaru SUV under 40,000 dollars with eyesight","New SUV under 50,000 dollars"
car,"New Toyota pickup 4x4 under 100,000 miles and preferably blue",new honda low mileage
car,"Red Jeep SUV under 50,000 miles newer than 2010",Ford used under 7000
car,"Tata Nano Mumbai area less than 55,000 km red color",Red Scorpio 2012 model
car,"Toyota 2020 less than 100,000 miles and black color",Honda black color
car,"Toyota Camry brand new in red under $35,000",BMW new in white
car,"Toyota less than 10,000 miles and under $10000",Toyata used under 7000
car,"Toyota more than 300,000 miles and upper $2000",Audi  A8L used under 6000
car,"Toyota, 50000k, 2021, new, blue, 4 cylinders","Mazda, 5000k, used, red"
car,"Used 100,000 honda 4000",Used honda 7000
car,"Used Honda Sedan, Los Angeles, Automatic Transmission, Clean title, less than 200,000 miles","Used Honda, California, clean title"
car,"Used petrol Citroen city car, manual transmission and under  £5000",Used black Vauxhall Corsa
car,"White Toyota Corolla under $15000 used less than 50,000 miles",Chevy Used Black 2011
car,"black Honda Civic 50,000 miles going for 10,000",2021 6-cylinder ford mustang
car,"black honda civic less than 5 years old, for around £12,000",4 cylinder red mustang
car,"bmw less than 200,000miles and under $20000",toyota used under 5000
car,"cylinders, fuel, odometer, transmission, type, paint_color, state","price, year, condition,region"
car,"ford crab less than 100,000 miles and under $16000",ford used under 20000
car,"honda car with black color and milage 300,000 price $55000 with petrol fuel",price of the first toyota car
car,"honda sedan less than 200,000 miles and under $15000",toyata used under 5000
car,"honda sedan less than 200,000 miles and under $15000",toyota used under 5000
car,"honda, 200,000 miles",toyota
car,"jeep less than 300,000 miles under $20000",used cadillac under 10000
car,"jeep less than 50,000 miles and under $17000",ford new car under 10000
car,"new Audi Q7, 2021 model, diesel, red",Peugeot 306 new
car,"red 1975 Dodge under 350,000 miles good condition in or near Reno Nevada",blue Mercedes in New York
car,"spaghetti, wal-mart, Costco",car
car,"toyota sedan less than 300,000 miles and under $20000",Honda used under 6000
car,$70000 in the 1990s but can be had for less than $90 a month now,"$5,000"
car,-,-
car,12000,10000
car,16000,5001
car,1992 silver toyota tacoma 4x4 truck,yellow truck
car,2011 Ford Fiesta used grey automatic transmission,"Used Ford truck $12,000"
car,2015 Honda Pilot Silver or Grey with leather seats,"Nissan Sentra under 80,000 miles"
